Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-November-2020,58.55,59.35,56.90,58.45,58.074925893001969318,2669451,19713,155028169.00,753091,28.21,2.45,-0.10
19-November-2020,61.85,61.90,58.10,58.60,59.961538309558099670,3796037,26660,227616218.00,1332355,35.10,3.80,-3.25
18-November-2020,58.00,62.50,57.25,61.90,60.240697445466852838,2778081,34186,167353537.00,762623,27.45,5.25,3.90
17-November-2020,57.00,58.55,57.00,58.00,57.980614025478709370,2592596,11282,150320308.00,1264994,48.79,1.55,1.00
14-November-2020,57.45,57.45,56.15,56.60,56.769441105625338205,208823,931,11854765.00,108898,52.15,1.30,-0.85
13-November-2020,55.90,56.80,54.75,56.60,55.556340233478512318,1146401,10727,63689844.00,244835,21.36,2.05,0.70
12-November-2020,57.40,57.45,56.20,56.25,56.672231435231850128,1605218,9895,90971286.00,603169,37.58,1.25,-1.15
11-November-2020,59.00,59.40,56.50,57.45,58.034815899260662369,1799178,4786,104414964.00,372890,20.73,2.90,-1.55
10-November-2020,56.10,59.00,55.70,58.55,57.656080976435220934,6385759,16504,368177838.00,3831637,60.00,3.30,2.45
9-November-2020,55.75,56.55,54.75,55.70,55.640751223815335887,2668499,7708,148477289.00,1099140,41.19,1.80,-0.05
6-November-2020,54.20,55.30,53.35,54.75,54.478986260470160605,1552746,2556,84592028.00,330372,21.28,1.95,0.55
5-November-2020,53.20,54.40,53.15,54.10,53.785536515320310838,3210803,11381,172694762.00,1503689,46.83,1.25,0.90
4-November-2020,53.15,53.40,51.30,52.70,52.267376959657035727,3036118,6399,158689924.00,505337,16.64,2.10,-0.45
3-November-2020,51.95,53.70,51.90,53.50,52.810612427989932754,3424174,7690,180832726.00,1376540,40.20,1.80,1.55
2-November-2020,50.50,52.45,50.05,51.70,51.231123356682299195,3088645,7082,158234753.00,868256,28.11,2.40,1.20
30-October-2020,51.35,51.35,49.80,50.50,50.482249111441003659,2464102,7574,124393411.00,643228,26.10,1.55,-0.85
29-October-2020,51.70,51.75,50.25,51.05,50.798604625282923184,2677847,8102,136030891.00,651793,24.34,1.50,-0.65
28-October-2020,54.30,54.30,51.60,52.20,53.123404114441597309,4530870,9991,240695238.00,739514,16.32,2.70,-2.10
27-October-2020,54.10,54.80,53.10,54.05,54.019232595795776427,3969199,6501,214413084.00,355058,8.95,1.70,-0.05
26-October-2020,56.60,56.60,54.00,54.15,54.939624694537809531,3304828,7246,181566010.00,500826,15.15,2.60,-2.45
23-October-2020,57.00,57.15,55.90,56.00,56.375908677223143745,2706269,4869,152568374.00,528359,19.52,1.25,-1.00
22-October-2020,56.50,56.85,55.80,56.55,56.359910856667040637,3084022,3425,173815205.00,218378,7.08,1.05,0.05
21-October-2020,56.85,58.75,55.75,56.95,57.325792408555874895,6778921,13445,388607018.00,2118756,31.26,3.00,0.10
20-October-2020,55.60,57.20,55.00,56.85,56.231079904857667776,4366931,9945,245557246.00,1542429,35.32,2.20,1.25
19-October-2020,53.30,56.60,53.15,56.25,55.236168774529020231,9078787,22406,501477411.00,5390813,59.38,3.45,2.95
16-October-2020,52.00,53.45,51.45,52.25,52.597986154056807187,3987594,6589,209739414.00,577156,14.47,2.00,0.25
15-October-2020,53.30,53.95,51.45,51.75,53.162236296171902325,4674515,7944,248507671.00,726609,15.54,2.50,-1.55
14-October-2020,52.40,53.15,51.30,52.90,52.266620578407650650,1961454,4639,102518572.00,465439,23.73,1.85,0.50
13-October-2020,52.25,53.00,51.90,52.55,52.387053514274740750,1249760,3038,65471244.00,363751,29.11,1.10,0.30
12-October-2020,53.40,54.25,52.25,52.50,53.220413542814756454,2386210,6257,126995083.00,844258,35.38,2.00,-0.90
9-October-2020,52.05,53.15,51.75,52.95,52.655576655893469296,2162156,5444,113849571.00,836703,38.70,1.40,0.90
8-October-2020,51.25,53.15,51.25,52.20,52.435422599456816679,1623393,5062,85123298.00,520677,32.07,1.90,0.95
7-October-2020,51.95,51.95,50.75,51.40,51.368414451900254930,853175,1461,43826247.00,125425,14.70,1.20,-0.55
6-October-2020,51.00,51.95,50.65,51.70,51.254783918497014843,1825700,4425,93575859.00,648108,35.50,1.30,0.70
5-October-2020,51.10,52.25,50.25,50.80,51.280892763295485326,2591594,6883,132899254.00,772179,29.80,2.00,-0.30
1-October-2020,49.20,50.65,49.10,50.55,50.078899803746463960,1122018,1990,56189427.00,243560,21.71,1.55,1.35
30-September-2020,49.50,49.55,48.45,48.55,48.887621926974563247,1395815,4140,68238076.00,365816,26.21,1.10,-0.95
29-September-2020,50.80,50.85,48.90,49.20,49.609780738840131789,685940,1490,34029333.00,156436,22.81,1.95,-1.60
28-September-2020,48.90,50.65,48.00,50.50,49.611133942561492433,2377325,6649,117941789.00,911321,38.33,2.65,1.60
25-September-2020,46.30,47.90,45.40,47.75,46.598036498950952060,2374534,7464,110648622.00,608389,25.62,2.50,1.45
24-September-2020,46.80,47.90,45.50,45.75,46.354307692248644868,2605467,12578,120774619.00,935618,35.91,2.40,-1.05
23-September-2020,49.45,49.85,47.50,48.45,48.683360977084563070,2014319,8023,98063819.00,478928,23.78,2.35,-1.00
22-September-2020,49.75,50.20,47.55,48.90,48.701751046821469356,1302992,3291,63457992.00,201023,15.43,2.65,-0.85
21-September-2020,51.90,52.00,49.50,49.75,50.648886250367487505,2285792,12099,115772819.00,821924,35.96,2.50,-2.15
18-September-2020,53.00,53.25,51.00,51.90,52.177736002198173731,1816053,7456,94757534.00,541237,29.80,2.25,-1.10
17-September-2020,53.20,53.85,52.40,52.70,52.972958328929449168,823137,1887,43604002.00,198669,24.14,1.45,-0.50
16-September-2020,54.45,54.45,52.85,53.55,53.182714617564627342,7337645,6244,390235880.00,6013333,81.95,1.60,-0.90
15-September-2020,54.00,54.45,52.90,54.25,53.727142046603747317,1522796,2521,81815477.00,381322,25.04,1.55,0.25
14-September-2020,52.45,55.00,51.80,53.35,53.880844339057969320,5605189,11142,302012316.00,1504666,26.84,3.20,0.90
11-September-2020,51.35,52.10,50.90,51.80,51.567914246332578517,2031400,5348,104755061.00,417899,20.57,1.20,0.45
10-September-2020,52.05,52.50,50.60,51.30,51.693364624167622438,1869344,7116,96632681.00,544722,29.14,1.90,-0.75
9-September-2020,51.50,51.80,49.75,51.35,50.548517455683829551,1211296,3242,61229217.00,264139,21.81,2.05,-0.15
8-September-2020,52.90,53.15,51.80,52.10,52.636996462080871338,1795123,7794,94489883.00,681443,37.96,1.35,-0.80
7-September-2020,54.15,54.15,52.15,52.90,53.073258088690918410,1232956,2838,65436992.00,321560,26.08,2.00,-1.25
4-September-2020,53.50,55.05,53.50,53.80,54.249127104007796941,1255877,3414,68130231.00,372003,29.62,1.55,0.30
3-September-2020,56.20,56.70,55.35,55.65,55.876776916911568260,1403625,5013,78430041.00,510475,36.37,1.35,-0.55
2-September-2020,55.40,56.20,54.20,55.90,55.152814298947600288,1016914,2291,56085669.00,156728,15.41,2.00,0.50
1-September-2020,55.55,56.80,53.40,54.65,54.490440425685803572,10023825,4960,546202639.00,451261,4.50,3.40,-0.90
31-August-2020,61.50,62.75,54.75,55.30,58.140169816614347108,6187616,24596,359749045.00,2233270,36.09,8.00,-6.20
28-August-2020,56.50,61.15,56.40,60.45,59.776363590286181313,4735110,11582,283047657.00,1130819,23.88,4.75,3.95
27-August-2020,57.00,57.25,56.00,56.10,56.555061102608996646,843581,2283,47708775.00,315710,37.42,1.25,-0.90
26-August-2020,56.80,57.05,56.30,56.70,56.672100818468515913,806995,1986,45734102.00,245390,30.41,0.75,-0.10
